Training Error 0.0001,Training Error 0.001,Training Error 0.01,Training Error 0.1
424.2193447,166.8385288,85.04192354,64.76701835
424.2193447,166.8385288,81.94114366,61.06373715
384.1178503,127.7467432,79.06461087,57.99272494
351.1622538,108.7300879,76.41337801,55.61430075
323.7734792,97.32811281,73.9840339,53.92246541
300.7351147,89.70344352,71.76894081,52.82880265
281.1281857,84.2414933,69.75686484,52.18498697
264.2602031,80.13694115,67.9338585,51.83384134
249.6060743,76.94115384,66.28430961,51.65137345
236.7634096,74.38376901,64.79203097,51.55821065
225.4200595,72.29193218,63.44123743,51.51013848
215.3308411,70.54990756,62.21728665,51.48448754
206.3008037,69.07726008,61.10709907,51.47010798
198.1731508,67.81635106,60.09930864,51.46157847
190.8204419,66.7248007,59.18420927,51.4562324
184.1380494,65.77075949,58.35356621,51.45271855
178.0393004,64.92983494,57.60037718,51.45032099
172.4517931,64.1830367,56.91861504,51.44863936
167.3145883,63.51536526,56.30298784,51.44743659
162.5760266,62.91481958,55.74872851,51.4465646
158.1920283,62.37168721,55.25142363,51.44592654
154.1247572,61.87802676,54.80688614,51.44545663
150.3415554,61.42728455,54.41107054,51.44510904
146.8140831,61.01400567,54.06002536,51.44485114
143.5176312,60.63361489,53.74987832,51.44465936
140.4305617,60.28224782,53.47684711,51.44451655
137.5338417,59.95661885,53.23726721,51.44441007
134.8106637,59.65391779,53.02762544,51.44433065
132.2461318,59.37172736,52.84459669,51.4442714
129.8270005,59.10795789,52.68507619,51.4442273
127.5414454,58.86079373,52.54620229,51.44419468
125.3788871,58.62865051,52.42537119,51.44417112
123.3298241,58.4101395,52.3202405,51.44415541
121.3857039,58.20403901,52.22872522,51.44414811
119.5388076,58.00926977,52.14898621,51.44415309
117.7821486,57.82487529,52.07941381,51.44418107
116.1093896,57.65000495,52.0186082,51.44425922
114.51477,57.48389984,51.96535836,51.44444947
112.99304,57.32588074,51.91862071,51.44490651
111.5394063,57.17533821,51.87749884,51.44595927
110.1494846,57.0317238,51.84122408,51.44849429
108.8192548,56.89454261,51.80913822,51.45415826
107.5450263,56.76334695,51.78067783,51.46829647
106.3234049,56.63773099,51.75536062,51.49795034
105.1512615,56.51732579,51.73277369,51.57844113
104.0257097,56.4017955,51.71256297,51.722382
102.9440808,56.29083346,51.6944247,52.19105794
101.903905,56.18415915,51.67809784,52.7124434
100.9028928,56.08151554,51.66335775,55.26622482
99.93891773,55.98266668,51.65001076,54.96366894
99.01000426,55.88739534,51.63788969,62.8426079
98.11431337,55.79550167,51.62684992,54.25855525
97.25013162,55.70680099,51.61676614,58.78272702
96.41585961,55.62112245,51.6075296,55.0217432
95.61000416,55.53830802,51.59904574,62.15667467
94.83116837,55.45821102,51.59123217,54.3774251
94.07804569,55.38069518,51.58401705,59.20343481
93.34941025,55.30563381,51.57733754,54.93257431
92.64411322,55.2329088,51.57113861,61.68416387
91.96107572,55.16240999,51.56537201,54.46602663
91.29928353,55.09403443,51.55999532,59.55050222
90.65778237,55.02768586,51.55497116,54.86761078
90.03567358,54.96327415,51.5502666,61.3488591
89.43211118,54.90071469,51.54585249,54.52922302
88.84629611,54.8399281,51.54170301,59.80548216
88.27747498,54.78083975,51.53779529,54.81954393
87.72493584,54.72337943,51.53410892,61.10805042
87.18800516,54.66748096,51.53062576,54.57439702
86.66604547,54.61308192,51.52732957,59.99224656
86.15845438,54.5601234,51.52420584,54.78407638
85.66466005,54.50854972,51.52124152,60.93459999
85.18412048,54.45830822,51.51842492,54.6067783
84.71632163,54.40934903,51.51574545,60.12883594
84.26077505,54.36162482,51.51319358,54.75807742
83.8170169,54.31509076,51.51076066,60.80976418
83.38460606,54.26970427,51.50843885,54.62998568
82.96312324,54.22542487,51.506221,60.22833985
82.55216898,54.18221405,51.50410062,54.73909075
82.15136295,54.14003516,51.50207174,60.71989801
81.76034301,54.09885327,51.50012894,54.64663118
81.37876326,54.05863515,51.49826719,60.30062338
81.00629428,54.01934899,51.49648191,54.72529506
80.64262137,53.98096447,51.49476885,60.65528963
80.287444,53.94345261,51.4931241,54.65861643
79.94047493,53.90678572,51.49154402,60.353149
79.60143989,53.87093727,51.49002526,54.71530876
79.27007601,53.83588188,51.48856469,60.6089181
78.94613239,53.80159523,51.48715939,54.66721225
78.62936842,53.76805402,51.48580666,60.39108357
78.31955405,53.73523586,51.48450398,54.70807722
78.01646821,53.70311932,51.48324896,60.57555792
77.71989934,53.6716838,51.4820394,54.67340881
77.4296447,53.64090946,51.48087321,60.4186016
77.14550946,53.61077731,51.47974844,54.70285727
76.86730702,53.58126902,51.47866325,60.55157245
76.59485765,53.55236697,51.47761592,54.67785858
76.3279893,53.52405422,51.47660479,60.43844889
76.06653625,53.49631442,51.47562834,54.69906491
75.8103391,53.46913186,51.47468512,60.53426414
75.55924501,53.44249132,51.47377374,54.68107051
75.31310652,53.4163782,51.4728929,60.4528365
75.07178195,53.39077836,51.47204136,54.69635811
74.83513478,53.36567819,51.47121796,60.52190187
74.60303351,53.34106453,51.47042157,54.6833821
74.37535158,53.31692464,51.46965115,60.46320078
74.151967,53.29324626,51.46890569,54.69439352
73.93276202,53.27001754,51.46818423,60.51296087
73.71762335,53.24722694,51.46748585,54.68504295
73.5064415,53.22486341,51.4668097,60.47064309
