Training Error 0.00025,Learning Rate
1105.249778,0.00025
1105.249778,
1102.72017,
1100.560317,
1098.644664,
1096.891632,
1095.248205,
1093.679904,
1092.164292,
1090.686745,
1089.237724,
1087.810992,
1086.402455,
1085.009421,
1083.630105,
1082.263313,
1080.908236,
1079.564319,
1078.231169,
1076.9085,
1075.596095,
1074.293784,
1073.001426,
1071.718901,
1070.446102,
1069.182929,
1067.929288,
1066.685092,
1065.450255,
1064.224693,
1063.008323,
1061.801066,
1060.602839,
1059.413567,
1058.23317,
1057.06157,
1055.898691,
1054.744458,
1053.598795,
1052.461627,
1051.332881,
1050.212484,
1049.100361,
1047.996442,
1046.900655,
1045.81293,
1044.733197,
1043.661386,
1042.597428,
1041.541253,
1040.492795,
1039.451987,
1038.418762,
1037.393056,
1036.374801,
1035.363933,
1034.360388,
1033.364102,
1032.375013,
1031.393059,
1030.418176,
1029.450305,
1028.489382,
1027.53535,
1026.588148,
1025.647717,
1024.713998,
1023.786933,
1022.866465,
1021.952536,
1021.04509,
1020.144071,
1019.249423,
1018.361093,
1017.479024,
1016.603164,
1015.733459,
1014.869855,
1014.012302,
1013.160746,
1012.315135,
1011.47542,
1010.641548,
1009.813472,
1008.991139,
1008.174503,
1007.363513,
1006.558122,
1005.75828,
1004.963942,
1004.17506,
1003.391589,
1002.613481,
1001.840691,
1001.073175,
1000.310887,
999.5537839,
998.8018203,
998.0549533,
997.3131397,
996.576337,
995.8445025,
995.1175952,
994.3955727,
993.6783934,
992.9660176,
992.2584049,
991.5555147,
990.857308,
990.1637448,
989.4747871,
988.7903959,
988.1105337,
987.4351618,
986.7642435,
986.0977412,
985.4356178,
984.7778384,
984.1243653,
983.4751641,
982.8301989,
982.1894347,
981.5528366,
980.9203705,
980.2920027,
979.6676985,
979.0474248,
978.4311491,
977.8188385,
977.2104596,
976.6059809,
976.0053703,
975.4085968,
974.8156286,
974.2264339,
973.6409832,
973.0592456,
972.4811915,
971.9067904,
971.3360128,
970.7688292,
970.2052106,
969.6451287,
969.0885551,
968.5354611,
967.9858188,
967.4396005,
966.896779,
966.3573265,
965.8212168,
965.2884229,
964.758918,
964.2326765,
963.7096719,
963.1898793,
962.6732721,
962.1598259,
961.6495153,
961.1423155,
960.6382023,
960.1371509,
959.6391373,
959.1441378,
958.6521291,
958.1630872,
957.6769889,
957.1938112,
956.7135313,
956.2361264,
955.7615746,
955.2898532,
954.8209408,
954.3548153,
953.8914551,
953.4308384,
952.9729446,
952.5177523,
952.0652407,
951.6153894,
951.1681784,
950.7235866,
950.2815947,
949.8421819,
949.4053292,
948.9710168,
948.5392253,
948.1099355,
947.6831288,
947.2587859,
946.8368884,
946.4174177,
946.0003554,
945.5856834,
945.1733837,
944.7634382,
944.3558296,
943.9505402,
943.5475526,
943.1468494,
942.748414,
942.3522292,
941.958278,
941.5665441,
941.1770108,
940.7896623,
940.4044819,
940.0214536,
939.6405616,
939.2617905,
938.8851242,
938.510547,
938.1380442,
937.7675998,
937.3991997,
937.0328283,
936.668471,
936.3061133,
935.9457403,
935.5873375,
935.2308909,
934.876386,
934.523809,
934.1731462,
933.8243831,
933.4775066,
933.1325026,
932.7893582,
932.4480597,
932.1085939,
931.7709478,
931.4351084,
931.1010626,
930.768798,
930.4383018,
930.109561,
929.7825633,
929.4572968,
929.1337489,
928.8119077,
928.491761,
928.1732967,
927.8565034,
927.5413687,
927.2278814,
926.9160299,
926.605803,
926.2971889,
925.9901767,
925.6847553,
925.3809132,
925.0786398,
924.7779242,
924.4787555,
924.1811232,
923.8850165,
923.5904252,
923.2973383,
923.0057456,
922.7156373,
922.427003,
922.1398326,
921.854116,
921.5698435,
921.287005,
921.0055908,
920.7255912,
920.4469966,
920.1697978,
919.893985,
919.6195493,
919.3464808,
919.0747706,
918.8044095,
918.5353887,
918.2676987,
918.0013311,
917.7362767,
917.4725268,
917.2100729,
916.9489063,
916.6890183,
916.4304006,
916.1730447,
915.9169421,
915.6620848,
915.4084644,
915.1560726,
914.9049016,
914.6549434,
914.4061897,
914.1586329,
913.9122651,
913.6670787,
913.4230656,
913.1802184,
912.9385295,
912.6979913,
912.4585962,
912.2203373,
911.9832067,
911.7471976,
911.5123024,
911.2785142,
911.0458257,
910.8142296,
910.5837192,
910.3542876,
910.1259278,
909.8986329,
909.6723961,
909.4472108,
909.2230702,
908.9999678,
